exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_016;Сгибание ног сидя;ноги бицепс бедра;Бицепс бедра;Сгибание ног;сгибание ног;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_185;Сгибание рук с гантелями сидя;бицепс;Бицепс;Сгибание локтя;сгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_018;Си-си присед на бицепс бедра в смите;ноги бицепс бедра;Бицепс бедра;Сгибание ног;сгибание ног;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_014;Си-си присед с собственным весом;ноги квадрицепс;Квадрицепс;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_030;Си-си приседания на переднюю поверхность бедра;ноги;Квадрицепс;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_098;Скрепка на пресс;пресс;Прямая мышца живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
ex_скручивание-на-полу;Скручивание на полу;кор;;trunk_flexion;trunk_flexion;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_c2e132ab52;Скручивание на полу;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_101;Скручивания на полу на пресс;пресс;Прямая мышца живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_086;Скручивания на скамье для пресса;пресс;Прямая мышца живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_148;Становая тяга;спина;Ягодицы / спина;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_052;Становая тяга сумо;спина;Ягодицы / приводящие мышцы;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_128;Суперсет на верх груди в смитте;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_065;Т-тяга в тренажёре;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_064;Т-тяга со штангой;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_135;Трицепс в кроссовере обратным хватом;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_137;Трицепс в тренажере;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_091;"Тяга ""Арбалет"" на заднюю дельту";плечи задняя деьта;Задняя дельта;Разведение плеча;разведение плеча;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_076;Тяга гантели к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_074;Тяга гирь к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_152;Тяга до колена;спина;Ягодицы / спина;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_147;Тяга из ямы;спина;Ягодицы / спина;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_134;Тяга из-за головы в кроссовере на трицепс;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_051;Тяга к подбородку в кроссовере;плечи передняя дельта средняя дельта;Средняя дельта / трапеция;Тяга к подбородку;тяга к подбородку;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_075;Тяга к поясу в кроссовере;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_057;Тяга Ли Хэйни;плечи задняя дельта;Задняя дельта;Разгибание плеча;разгибание плеча;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_151;Тяга со стоек;спина;Ягодицы / спина;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
